group,horizon_min,n_test,MAE,RMSE,nRMSE,persistence_RMSE,skill_score,fit_seconds
A_短期,5,391666,0.472,0.676,0.0878,0.758,0.1075,16.4
A_短期,15,391576,0.641,0.892,0.1158,0.971,0.0818,32.8
A_短期,30,391441,0.821,1.122,0.1457,1.211,0.0737,33.1
A_短期,60,391171,1.075,1.449,0.1882,1.576,0.0803,32.4
B_中期,90,389821,1.268,1.698,0.2202,1.875,0.0944,26.7
B_中期,180,389011,1.648,2.192,0.2841,2.547,0.1393,16.7
B_中期,360,387391,2.164,2.902,0.3756,3.568,0.1869,12.8
C_長期,720,372811,2.877,3.841,0.4938,4.766,0.1941,8.6
C_長期,1440,366331,3.488,4.626,0.597,5.499,0.1587,8.2
